AD_HP数据：
('96e0b823-0c91-4a05-9c7e-3bae2383c510', 'ZBLF', '临汾/尧都')
('aa9c9105-e1e7-4914-ab04-e2371d41d086', '0ac257ed-56be-410f-84e8-ab77a8662074', 'ZLHX')
('2eb76605-4a31-4593-b71f-72be531084a8', '0c4d8bce-1cbd-4aea-9349-40f53fe3a758', 'ZJQH')
('82c7933e-bf35-43e9-935e-3b66b61477cc', '0c6d1625-b746-4e95-9a7d-3ffcdc02e72e', 'ZSYW')
('3b91188a-647c-4a85-8f3f-b00e62e468f2', '0dbf6857-e549-4e34-92e9-fc5114a7a9bc', 'ZSYC')
('6794ffa0-0803-4936-9dd3-48f1aec02dac', '0f3ae9cd-f3bd-4e1e-a48d-67f7fd2a83f3', 'ZUDC')
('307c7b31-55ce-4aba-9d5f-1822f107fc78', '1089615b-7aa4-47b8-aa7f-e9ac4d32b3d5', 'ZSOF')
('e50a7056-7696-450e-ab73-192b2b60622e', '114f9ffe-fb89-4434-9023-703fd0a2af7f', 'ZGSY')
('63bc2142-bfe8-456e-9ed2-c723df445994', '11819abb-a1ae-4ca0-9254-36a7730ff374', 'ZSZS')
('ad84096a-c479-47e4-a0bf-309f31f338c1', '1256d337-f54e-4cd6-bee2-2cfafccee07a', 'ZGBS')
('c7c56317-2c60-485c-badb-d55c46925f73', '142e7b0d-f177-40ec-ac39-463612ade4bf', 'ZUBJ')
('10285451-d18e-41ee-a400-c65f3287fccb', '14f641f9-5ff9-4e76-adb4-3ab55d09dc21', 'ZUTR')
('f713fd62-e768-420a-8f7e-e1f4fe32e576', '16104f09-0718-40eb-98de-45cd37397680', 'ZBXH')
('b9ca69e3-4b87-49a6-99d3-9c25177754af', '183609ee-91be-4c0f-82f1-211501d777a4', 'ZSCG')
('6f6ba1ef-fa04-4a44-8f4c-abd895a4b361', '190e020f-9b9c-4f86-ba82-94ca3a914182', 'ZSDY')
('3f75576f-7e8b-465c-a161-8e6fa1b1e73c', '19aba388-60a0-4718-9bec-ba1f7feecdbc', 'ZPDQ')
('f80e754d-5c65-43c1-9787-45bd6fb50e3c', '19d80b6d-0da0-4e97-aced-2884810ab206', 'ZBAA')
('b45a2d6d-9fe7-43c1-a7ab-bb719cc67953', '19d80b6d-0da0-4e97-aced-2884810ab206', 'ZBAA')
('f31f0422-fd7d-424b-a3c2-602505a54be0', '19d80b6d-0da0-4e97-aced-2884810ab206', 'ZBAA')
('12653808-40d4-408c-91f6-06df14247ebd', '19ff3a96-a08e-43ae-bb22-db3e439d3f60', 'ZYBA')
('0aa28ef2-996a-42e5-b650-f1a6ef84b2f6', '1aad95cf-f8f9-43b8-91dd-b49cb84321e4', 'ZYTT')
('3769bd11-94e3-4350-8dcc-9a264fd39134', '1c34ef0e-6c87-4612-9905-f57b3057da8c', 'ZLXN')
('796d81a4-aa22-4ae4-ba9a-02b453e90720', '1d8799e3-3963-405e-9de4-342175c7756d', 'ZSQZ')
('540dd4ba-d9dc-4918-a3f2-96ae54d9c94d', '1e8997bf-dd09-43b4-a0b8-b18afa644191', 'ZYTN')
('2f326115-0d68-45aa-abf8-b8e22c290d85', '1fe0c9f4-3eb3-4b1f-bd25-14d06d14586d', 'ZUTF')
('d1fa1d9d-4f97-45d2-b6e5-9f6a45680c89', '1fe0c9f4-3eb3-4b1f-bd25-14d06d14586d', 'ZUTF')
('d276c19e-7c9d-4b6c-981b-a76a290e2264', '1fe0c9f4-3eb3-4b1f-bd25-14d06d14586d', 'ZUTF')
('50614ac9-cb5c-42f8-b8c6-061ae188f3cf', '1ffadd33-05c5-4657-b2b4-5b32da076778', 'ZLQY')
('50ef4919-298d-4e6b-96b5-67914d25bcf7', '2098b5d3-e7af-4858-861d-2d53f6d72cfa', 'ZYYJ')
('98c2bb38-7eac-4bf7-9215-7db4c7333c33', '244c8d3d-183f-4ed5-b25c-03b4d3bd5b1f', 'ZBCD')
('25eb245a-d4b9-4dc5-b188-25f352b628cc', '24f114a7-0402-45f0-bf9e-a61a77ee0f97', 'ZYJD')
('a106a9b6-02af-433d-8832-aedb615925c3', '252898f9-88e2-4530-b1b4-aebe252cbe74', 'ZBER')
('fabcab8b-371f-49ff-8110-ee2a35fb8631', '26b08066-f75b-4ebb-8c0e-e68691b36738', 'ZGYJ')
('689a639e-5779-48ba-ac91-6b1b4774a43a', '28be0d9f-ae97-42fd-8fa0-42026dd34d8d', 'ZHCC')
('5db3b55d-6a3c-4338-81d9-9488cc0bdfe3', '28be0d9f-ae97-42fd-8fa0-42026dd34d8d', 'ZHCC')
('dda1210a-1c95-468c-9d74-cb16dd8114d3', '28ed296b-b03c-4115-bb22-368bc71df92c', 'ZSQD')
('55b6bedc-443d-4bec-93d1-56214f3f9623', '28ed296b-b03c-4115-bb22-368bc71df92c', 'ZSQD')
('5826d442-7832-459b-aa1b-712eb1d84b55', '297a3a4f-311e-436d-aa27-2e4a3576f4cf', 'ZSWY')
('30562f9a-9f68-4fe7-a3dd-ef4ef1d1afab', '2a093027-5ac3-4b72-abb4-55bd2553597d', 'ZYJM')
('94f95478-482c-491c-bb90-3834cbfcb0c5', '2abad141-dd7a-4ab4-90a4-549768232ba4', 'ZUGZ')
('6a82ebcf-4655-49f9-8532-bd7a21088030', '2b1c8d73-a0ac-4abc-a09c-5e59d48cdb56', 'ZSNB')
('6ce634c0-4a80-4f3b-bc04-cc7b8ca48fc8', '2b5ce5f9-0f17-4000-95a9-80d8f481780e', 'ZUGH')
('6101160b-b1b9-40fb-bdf2-316a11110aad', '2c70abc8-3218-46aa-bc6d-cb6beb185aa1', 'ZLTS')
('fe28a196-a7e2-43d2-b180-15358fcfa2f8', '2d728e41-71ca-4ff2-a719-6ceb368940c4', 'ZLAK')
('ad044ce9-e4f2-485a-9b26-71419136b361', '2f65d965-a76f-4c61-a596-c8103d437894', 'ZLJC')
('80ccd2a3-278d-4b15-a098-4c8f244b963a', '303df0e3-4e9d-4230-841e-0ee3c2f4ebf3', 'ZPLJ')
('2630a7e2-c777-4029-962b-a66d925d41ea', '309dc177-9e5f-490e-a43b-244f345c7134', 'ZJYX')
('d5e8ebef-122e-4d68-9131-770b11f5adfb', '31632232-e57b-4eaa-9f85-150ac495dc68', 'ZWKN')
('06810512-5b99-4737-b53d-ea3e8e3a6e37', '317a80e1-ee52-467c-bf0e-a0a66fa9124a', 'ZWYT')
('ba375651-a22d-4e4e-9ee9-a052da533469', '362b60af-077e-403f-9e7c-aa3b45452b8e', 'ZSHC')
('7c92e780-8d5c-4c69-95a4-46df084e2bc6', '362b60af-077e-403f-9e7c-aa3b45452b8e', 'ZSHC')
('7bb0f630-34f6-4495-b9d0-5f01cfbcd1f6', '3678664e-021d-4cc7-a737-5ff23c8afa28', '')
('b1b98f45-882e-4e95-8354-a2d5cf4c349f', '3708afe9-5024-46d9-b71b-a5e2fcc81d52', 'ZUSH')
('69f236ea-95e5-4ff8-8302-721da8c1872e', '37de0e1f-be9f-4baf-8d7a-83c155feaa3b', 'ZWSH')
('302baf12-bb71-4426-b8c3-0253575db627', '3862ba13-c569-4f3c-897a-087bf177ca4f', 'ZYJZ')
('cdc5c545-d153-4a38-9e52-d274ec86163e', '39585adf-0d9c-4b36-bef3-8a0f93640043', 'ZGLD')
('6dfdb5b0-77bf-4aaf-8643-f3fd6430b2d7', '39a5eca1-72c4-49fd-8ca6-13e73a281fdd', 'ZWYN')
('35c36b5c-8e1f-4da4-8802-99f7259fae9b', '3b0487b3-90f9-46c6-b76d-483f59aa1891', 'ZUZY')
('37db00bd-ce31-4c76-888d-c8044ff05b9e', '3b13e29f-1f87-4d0f-acad-c8680892d753', 'ZBCZ')
('a6e28718-bc1f-456f-ad91-43503afb22d4', '3b7bac68-f144-4d1d-b212-b00494bd7a61', 'ZGSD')
('aa61fb02-4441-467b-be1b-d530dc5f8d55', '3d4c42a3-110c-4816-b677-6b7aaf6ab670', 'ZWRQ')
('988af622-acf0-4bb7-ab97-4aeb37834aa6', '41217d79-0910-4519-9366-1f53e0acb3c9', 'ZSXZ')
('4ddb3868-81e1-4ac5-8795-700bca95894e', '418424e9-2e0f-4a8d-96aa-2f1716adf258', 'ZLYA')
('5ef2a486-150e-4bea-abc4-8316c9b0b425', '418c1b27-b302-4eb6-a2f8-a9d600f0f872', 'ZYMH')
('ad6e3707-425d-4fcb-aa6f-a0455b19b113', '42ccf4c6-5219-48d5-b1a8-ec0ac1cc0851', 'ZPNL')
('2f47e118-141d-4fc7-8840-d159aa30eef4', '42fddd58-1ff8-4378-a7d7-257e3d411bb3', 'ZSJU')
('4790e556-557e-4e22-87a4-e884765934e3', '43d18b9e-16d0-4e73-9fc0-739636da1290', 'ZLJQ')
('35f3777e-1083-4568-b9a2-d551d0854d9d', '43ed76dd-9b85-4334-8944-8a79a9718775', 'ZUHY')
('08c258ee-9e00-4a2b-adf9-53b5e6a022a3', '44b8aff9-086b-4396-82b6-dea77971bdcc', 'ZBSN')
('7cb87de0-cc9f-4033-ba57-698d5ffe1764', '4529263a-48d5-4b1f-b93f-8946370a13d3', 'ZUNP')
('2c5c86b7-b809-41cd-a6d5-6bb2fa467813', '453368ad-e9e4-401e-8733-65445594c3a5', 'ZWSC')
('e564396c-bf62-4460-bc35-6016c769c165', '45d1e0a3-c8f4-4c60-b69e-6ac6167dde45', 'ZHYC')
('9f4b51dc-4cc9-4037-b4f9-0221e6fec7ab', '46600504-06ea-4448-8beb-b2a9db493403', 'ZSHZ')
('e01f0d85-d91f-4b9b-8b40-4b2adac414c2', '46b2d60c-3f13-43b3-ba23-7f6cd8552a58', 'ZPMS')
('435754a3-3f0b-44b8-9676-038eb1419fe4', '470ea887-5428-4156-904c-b52c25ade611', 'ZGSZ')
('659af1df-d027-4932-bd51-faf9600110b4', '470ea887-5428-4156-904c-b52c25ade611', 'ZGSZ')
('520aa5f2-6f17-4623-b056-d785f7186491', '495ce057-b7eb-4b2f-b264-146294551d16', 'ZUMT')
('1c3dceb0-f124-4cd6-9e58-1c10db098fcf', '49bec36d-5ea0-4289-9fb9-494bab68542e', 'ZGCD')
('1dd4edb9-361b-4634-ba31-ef91c8abacbf', '4b705eb7-2897-4a62-8fae-07c7dcb574f8', 'ZYHB')
('1fbe1bef-8cba-4017-a7f5-ecf15b76d2ac', '4c1adaf0-29af-460a-858f-e7478559568d', 'ZUDA')
('986d2ee6-8250-4bdc-81fb-efaba8ba7ee2', '4cdc5182-76ad-4b02-94c8-2710311633cb', 'ZLZW')
('5b26e8f1-a3fb-45d5-80fc-5ea5ae44bac1', '4d7612a2-99cc-4962-8b95-98ae7d9482a8', 'ZULS')
('88f004e0-1bba-46d2-badb-c3cdd68ade34', '4d9dea21-dd94-4745-8048-094cc6b52543', 'ZBSJ')
('2a0dac94-d94e-459b-a3f8-f784b77e4330', '4db09801-8c20-4646-b56b-77e4eb3054f0', 'ZHJZ')
('fd76e29d-08b3-4656-b169-98075432cdf2', '4e26acc8-5d61-4f96-b84b-028c82293a8d', 'ZWKC')
('4c26adb4-b474-4781-8ed9-53c642a31d90', '4e5d49e6-4c1f-4a7a-baaf-c91ce9a5c6f3', 'ZWCM')
('7ebd6001-1e57-43e8-abc6-df7b47edb1ba', '4ed28640-cfe3-4663-addc-9ee2e1af8ba7', 'ZJHK')
('a2827d14-5f1a-49c5-96ae-b4f1b5a56987', '4ed28640-cfe3-4663-addc-9ee2e1af8ba7', 'ZJHK')
('94b79cc5-5869-42a0-82fa-8697c7eab775', '5061af96-6c74-404e-835e-bc692b2debbd', 'ZPSM')
('ec15c740-fcb7-41c7-8692-cce7414585a9', '51919ca6-7ab7-4f9a-8093-351e2a119032', 'ZWHZ')
('a388eebb-2c87-433c-b098-87db92543559', '52661959-9f1b-421b-961a-f699e4d0a86e', 'ZUAL')
('06e0ca73-8dd1-4f58-a716-79c01536e8e9', '52c19403-b30d-4e69-8449-94b894e6675a', 'ZUXJ')
('0c41b1ce-8f54-45b2-bab7-13fdc34a1960', '536cb54c-9353-4934-a098-3162e678c6fc', 'ZBYC')
('8d4b48ca-1ee7-4ddf-a841-7b351b7b214a', '5539dc34-a688-4193-aa23-c5f6441ce403', 'ZSLG')
('308d8ea4-227c-4374-97e2-9403fdef7ed0', '553ee848-5655-4d5a-b6b6-68c25df6c7a6', 'ZPBS')
('d09457bf-1f0d-418e-ae53-8b258852e366', '55689794-cd9c-4da5-9569-34a70ea6cadb', 'ZSSS')
('0dabbcb4-9f97-4df8-8e2e-42da67a484ea', '55689794-cd9c-4da5-9569-34a70ea6cadb', 'ZSSS')
('b2d032e5-f7c3-4ea4-b6d9-f06b32a39e5d', '5568d25d-ace1-490e-b50b-9836c86dcb95', 'ZGMX')
('0a1bddde-7e3c-4b48-ae2c-fe639347c033', '565bc2ce-9a26-475f-962e-3a42df3b0faf', 'ZWHM')
('83b04f4f-fe6f-4c86-90da-5678b8f844ea', '57393ca4-eeb8-42eb-96ee-daf78e01d034', 'ZPWS')
('c1756d8a-8da0-4869-ac94-f306efe73d63', '59acb3f6-0ec8-4ae3-b530-fd4772f73720', 'ZPTC')
('af76f9d2-7fd1-4f9e-b915-cbcba73b37c8', '5fdc3c6e-d167-482f-a652-c6680dfb6d85', 'ZYFY')
('21364622-f538-420a-b928-a084adce8ea1', '5fff68f1-458e-42f9-9ba6-84390ffc6a8d', 'ZWKL')
('b01fbb8c-27a5-445c-9213-c57e22002ff1', '60f5e876-2e0c-4d20-b966-fb28f378f5ab', 'ZGDY')
('da28cd49-ae65-4a21-b99e-1e02dd8531d4', '61c147f9-125b-4838-8420-de9ed3864ddb', 'ZBCF')
('366d2b8e-271c-4bb2-8cb4-11ae3f44266e', '61c6fdb1-3613-4a5d-a9d9-079f848f73e3', 'ZUQJ')
('4dbbc7b4-92c2-4d5c-9ea6-094ee52a29b6', '652944ff-923a-4bbb-a3ca-e98c5cee88b6', 'ZLIC')
('14307eec-d300-40e8-925a-ce9bc9ac8ab8', '66940f3e-9753-4498-b6a5-dfc1eedc4216', 'ZYQQ')
('004d6934-fa2c-41bc-bb3b-8cf76daf547f', '66940f3e-9753-4498-b6a5-dfc1eedc4216', 'ZYQQ')
('efe3f5f7-b8f0-4539-afb2-f41801efd95a', '66f8f4d1-62b8-4dc5-8b88-c6b3d934e982', 'ZSFZ')
('66630f5f-28b1-4dfc-acae-3c790e23fd90', '675a0f06-d79a-4e64-a628-3a82864a3298', 'ZHES')
('ea9392a0-5d99-4b69-887a-a2082cd7a1ec', '6808bc62-7d82-40dc-861c-85ce01b4526a', 'ZBHD')
('e0e8d5d4-2f3d-43d2-bc52-cda428e8fffa', '690462ed-c4b4-4ca3-8189-f447c6fadedc', 'ZLYS')
('d787733c-7ce6-4889-b7b2-ca502eaa267d', '6a97a5d6-84b5-4520-b0d5-b2805dc9f3d2', 'ZSSM')
('02fa0d91-f3f9-4390-860d-84e3dcebaf86', '6bc89dab-5498-458f-bfe9-ffbc506079e4', 'ZLZY')
('edea5b0a-dfae-4ecf-88b6-425b7c6fc030', '6eb9947c-8a27-4e30-8976-ad80b15a6e1e', 'ZBLL')
('416d5c95-be05-48ce-ba10-2b2b217c43ad', '6f48f788-73f7-4709-aa0e-8c8cd871fd90', 'ZBYZ')
('f2cf6908-1afb-4d91-8cfc-8517884d6522', '6fad1e4b-2a42-4791-9289-1e0996e3bf1f', 'ZLXY')
('5c7cb19f-d626-43f1-b1fe-85139694fdce', '6fad1e4b-2a42-4791-9289-1e0996e3bf1f', 'ZLXY')
('c0dad80c-6990-4547-b722-284e58720618', '6fd5236a-e00d-49db-841f-502a01dd63f2', 'ZSJD')
('db7c115c-d4bb-4913-b155-d1cc59ac290d', '6fe03eee-89ed-4340-95c2-f3cf9b24f786', 'ZUWS')
('0fca0fa3-5f94-4a0e-b01d-4aaea94f2508', '7059fd42-e333-42a4-afe7-83e03916827c', 'ZWBL')
('180920c2-6ed3-4183-83e4-beaaf23a8a8b', '70b6bb2b-7172-4b72-94b2-367f859d83f9', 'ZBEN')
('9f071f48-ad49-4d1a-a9e7-3b221c326f47', '712a4e10-d968-4926-84d7-96f18a286a6c', 'ZUCK')
('93e45953-7ab1-4245-8eea-50806d0e5571', '712a4e10-d968-4926-84d7-96f18a286a6c', 'ZUCK')
('fbed47c6-5290-434c-9025-35c534e85e5f', '712a4e10-d968-4926-84d7-96f18a286a6c', 'ZUCK')
('b3be07b5-deaa-4be0-a9d6-3edbce1fa9c7', '71452511-12f4-4bd6-bde3-caedc01d6114', 'ZLHZ')
('abc9372f-a908-480f-aabf-a8c3efd2270d', '722c3d7e-b2b6-4183-bdf3-b77f73e13b11', 'ZYTX')
('35e633f3-e029-4cd2-92c5-3a736327e3df', '72c95c5d-b0dd-4f4f-a93b-b25d55907166', 'ZUMY')
('c9324372-201e-455f-8bb8-34be1dd7105c', '7381c588-7558-49ef-a87c-7d7a038a12e4', 'ZWAL')
('2bc00b87-c9da-4702-bbae-bad1b79fba24', '738ddc26-90eb-40d5-a4f7-ead27891853a', 'ZUYB')
('ff3f906b-a442-47b5-b8fc-b85d0a82967b', '73cd028e-c7ec-49e6-9ca8-4c42df3124bc', 'ZGHC')
('b5239a46-21dc-4330-bd87-d9a67e04f966', '74b2752f-e624-409e-ba5e-d8b88830b6be', 'ZUNZ')
('c434b516-c382-44d9-ba7c-bbaa5f5f8c0b', '75564e75-ee2a-45ed-b588-fad75ba32fe6', 'ZYLD')
('00a453f6-fb37-48a0-918c-3078561ab552', '76a16031-f3ef-45d5-ac04-ec18e7d1ced2', 'ZLLN')
('5dee4e57-5800-42d1-8ab4-3d36a1491c8f', '77e90404-79fc-4e18-852f-3197375cbfbb', 'ZBTL')
('9a3f5013-e779-434e-8f6c-229090055808', '78008895-0bde-44d9-8aa3-c0a3a82e643c', 'ZUAS')
('872fed10-c31f-47f0-bc91-07d9d563ebd2', '781c4cc7-cf7f-4a83-baae-bd171e6ea0fb', 'ZBOW')
('ab08e05e-4208-4aa1-895e-437a7ce6939c', '79eb8bb1-b63e-4f70-8091-fc45877ca3e6', 'ZPZT')
('178a63e9-656f-4dd5-9379-72e19424e32e', '7b8aa0ba-8379-451c-8c20-177e3fe5c443', 'ZSWH')
('d5940c13-457f-41cc-98ea-8d06ad10de8b', '7ca3bee1-5050-409b-891a-98d176dab58e', 'ZGOW')
('5c174277-d582-4a82-9797-371a16f271f8', '7eeed95f-9af8-4523-8025-56597bd044db', 'ZSYN')
('3f551c16-4d57-41d6-bc2c-f6368c45a1b4', '7f07054d-23e4-4967-baa9-cdf928793037', 'ZYDU')
('f40c5143-36ec-4048-9d33-cf40e2e67188', '7f2f7f13-5f52-48c4-9bbe-119322dbb2ec', 'ZSPD')
('ab261df9-809a-46c6-837d-9ef0965ad316', '7f2f7f13-5f52-48c4-9bbe-119322dbb2ec', 'ZSPD')
('8165f7c7-7855-45eb-b145-28bfdf641f1b', '7f2f7f13-5f52-48c4-9bbe-119322dbb2ec', 'ZSPD')
('0669b39f-5e0e-476a-ad35-66651acbaa5e', '7f2f7f13-5f52-48c4-9bbe-119322dbb2ec', 'ZSPD')
('514399a0-5d62-469b-977b-0da8f95eddd6', '804ad349-1340-4d08-a642-87f7c7f16b34', 'ZWWW')
('591f280f-2f42-4593-bbc7-304bbbe86c96', '83ac3053-a7c0-4624-a651-04f44dea0eee', 'ZWAT')
('9cce65d6-fbf7-4dcc-b30c-7a3e02573a9b', '83ddd9da-d300-4dad-80f8-9624c8d9eb25', 'ZLLL')
('fa2859cf-e243-4c19-8709-7492f4175844', '861e8ecf-1c6a-4362-824f-3b8a683eb39f', 'ZYJS')
('e21b3e9b-4167-4fa5-9f3c-a08138d3b070', '86798da9-68b1-416e-93ae-4671df474787', 'ZYHE')
('9ec62a85-0ee8-47dc-a34c-378780360e87', '868898d1-e45d-4b3e-957a-eae5787dbe44', '')
('7ec312ca-1c80-463c-a47b-447540b1fdb9', '86c6140a-f574-4670-8608-3ca1df1c317c', 'ZYMD')
('c136107b-792f-4109-b503-ee27ba5ae690', '870b482c-426b-499f-acec-ae64f0b976d5', 'ZWNL')
('0b8b254a-1479-4653-ba18-59161cc50546', '87fbd6e7-9588-4825-9910-400de7bb16fa', 'ZSWX')
('e2973268-9d45-4081-b482-d20f22228633', '88d21c29-913a-4001-9fe0-3d2eb76ea718', 'ZHXF')
('1a11d4df-753e-405e-92ff-07076a1d9ce8', '88e0256c-8183-4a38-b9e6-0b7ec75319ff', 'ZSNT')
('4b2c15e3-616c-4686-9f16-71f30312e60c', '8a4a3ef4-bf1f-465e-84a0-bb8493a75b6a', 'ZWTN')
('543ec3dd-b888-4acb-b15c-0e1f37a777de', '8a9a68c3-3445-4c2a-b682-cd0e91410174', 'ZGXX')
('759a29c5-bf00-4609-b5e6-844c48e31bd7', '8bb10814-2233-4d30-9da8-1b1759930ff0', 'ZBLA')
('4d525c15-26b0-48a0-8c74-a434933d5f0d', '8bec1897-ecc4-40cd-be70-6b540c34f519', 'ZUYI')
('793883ee-2eb4-460f-bd66-53ebb9750f40', '8c4ed8e5-982a-4522-8211-16b2c4e75e2f', 'ZBHZ')
('af635b64-0f42-4ec7-a2c6-471757c4015f', '8ca52c98-5020-4599-a82b-2a3868ec78da', 'ZYSQ')
('0ec91de5-01a6-4aa4-b30f-403cf8fe1544', '8cbeb338-dc21-49b2-ae1b-5a7f25d813e0', 'ZSWA')
('78b97289-fd4e-4aac-828f-c11111e4b845', '8e70a827-c545-485b-b9dd-21684623be14', 'ZLGY')
('9958742e-1bf7-4749-bf95-ed19793b7d54', '8e825de0-90e1-432b-a07e-512d3cfc7fca', 'ZGBH')
('e1565430-a330-44e6-93bd-08082d4a369c', '8e86ab32-be59-4492-a9a3-9a2e8d4a8c09', 'ZUUU')
('968ad804-670a-47d8-abf9-248bb608d108', '8e86ab32-be59-4492-a9a3-9a2e8d4a8c09', 'ZUUU')
('8bfbf3ed-68bd-4e4a-99f2-528bd50b87b0', '8e8ebf7c-5cac-480a-bde1-63599b0c1330', 'ZHXY')
('32f07767-7715-43af-87f4-0cd10d8f0c4f', '8eaef33c-847b-4305-842c-2429855929df', 'ZLDH')
('086a1e2e-c11c-44cc-88b3-1c387c7f5784', '900a9f64-d678-41e0-b492-d9bcf6ef11ae', '')
('ffcf452e-c412-40c1-ab38-91cf1f1977e0', '918b5d36-83af-459d-b383-6bce85295d36', 'ZBUC')
('2e1f07fd-9f9a-414b-848b-f8bbeec64361', '91b319e4-c0df-45dd-b4aa-de0d8c1f36b5', 'ZWTK')
('e0e1af0a-519a-4001-993d-7e18ea82de6e', '92c05345-7451-4f30-a44e-d125699eccad', 'ZURK')
('09f629c1-e3b4-4e5b-9c0d-a81cdfdb0050', '940b1444-b514-44b7-a598-341b60ea14b5', 'ZBMZ')
('94a97889-c97e-46d1-91f2-e25c943c3aab', '94c574c9-df7a-45ec-a06c-12b97b00d1ac', 'ZPDL')
('ed18af1a-80fa-4276-8b6f-d2f50bd48d7b', '9527c8df-9bee-4e9c-9b68-7b5912fa3d00', 'ZHNY')
('e8f0eb20-a587-4d42-bb31-bc54f1375bdf', '95fef9db-81da-4669-9569-8b747bd7d543', 'ZGSG')
('6fa44933-5eda-42fc-be55-8462025c2d82', '96e0b823-0c91-4a05-9c7e-3bae2383c510', 'ZBLF')
('411e1d89-229b-47da-a348-baaf2fac861c', '9a983ce5-d54f-4b71-9e44-18ab965b9983', 'ZLXH')
('d0af8a59-08e5-4be4-87c1-3a964a9b25c3', '9b157e2e-de5f-4744-9b82-413641b54200', 'ZUZH')
('65cd233a-c1b2-4582-8932-f85c84d8a38b', '9c4667ef-87f3-4308-8f2a-6d004fd32dd9', 'ZPLC')
('9b7811f3-d35f-4b2f-9592-0a23632914e5', '9cea71d1-8565-45c0-b23f-5ff58e04c136', 'ZGLG')
('f422df47-584f-4faa-9cb2-f08a361943a2', '9e101ac9-9de8-4f24-8f36-d750208c8913', 'ZWTL')
('43548b43-822b-4aaa-ae31-82812bab96ba', '9f5107af-e32e-48a8-94c9-9b7b7e5e5e23', 'ZUDR')
('41bdbfd3-5538-48da-b4f1-cc453f2be77f', '9fdda03b-904c-4067-a944-ef9c7b675f76', 'ZULB')
('950491f1-885b-49f0-afcd-ef7875fc9c33', 'a0ceb06f-c588-4218-8b87-f5ac3fb4566e', 'ZLDL')
('e7fb8c2a-5299-4001-a834-fb4565666501', 'a22382e1-6f49-4e8e-889a-30ffbc1a8edf', 'ZPJH')
('e23bc9bf-938a-44b0-89ca-8de8751e73ed', 'a388f183-3d87-440d-bd12-0d8f87f5b031', 'ZYBS')
('89c99bb7-efc5-4aec-842b-d979f38f8029', 'a3c272ba-daa0-44be-a7b1-95ff2cbd71ed', 'ZBZL')
('7b0b4591-4519-4344-93dc-4aa161eba279', 'a3e8b9bb-2752-4c28-a890-bdedb0272fca', 'ZYCC')
('f5d11e6e-4e4e-48e0-beef-54423242e417', 'a4432488-076a-4b8d-92de-ed09d27d8a72', 'ZWZS')
('e09593fe-52b9-4904-95f9-e8039d2762be', 'a452acd9-a162-4080-843d-9a9a58b8e2eb', 'ZUBD')
('e8f098c4-a7f7-4a56-857e-ca7d21c8ed16', 'a457a189-b3a7-48f1-b8cb-0e0f95646d03', 'ZUXC')
('f3e4ebe0-2145-442e-95b1-df6ea80d296b', 'a495f2fd-e84e-4b35-ad1e-b35ef1b10598', 'ZSNJ')
('6ab8a6ab-4e14-4db9-be6e-93d0e510f5f4', 'a495f2fd-e84e-4b35-ad1e-b35ef1b10598', 'ZSNJ')
('2e16d597-ef3c-47f6-81ae-ff745038fc04', 'a6a6c77b-a2fe-4620-a90b-f525913b0e4e', 'ZBUH')
('099b8218-26be-4d09-835d-d5117c0c74a4', 'a6ed136c-0446-4198-8d00-444b7a55a2b9', 'ZJSY')
('33cf107c-d543-4738-9950-0dcf17202030', 'a70253c5-3301-475b-a163-2226675fad31', '')
('a103e5a2-4b7d-4891-8a8f-47d515906351', 'a714e90f-d3bf-440b-b96e-6cb13bc025ca', 'ZBXZ')
('c0829803-4e14-4ab3-b8d6-23cb2bc84dfb', 'aa35b2ba-94aa-41e1-a733-8bc5a43c9e54', 'ZLHB')
('7a80e87b-e5f7-47a7-86e9-32acac3b4bbc', 'aab055ef-4a22-49e5-8c19-cf515748d298', 'ZGNN')
('5303e03d-a38b-427a-bfee-aac4f66fe994', 'ab24706a-6d39-440e-840c-874d6ff68879', 'ZSYA')
('c9a504a3-9543-4b63-a3f6-5b74d2833f08', 'ad46836f-7173-49e9-b1e1-a05c0fa4f440', 'ZWFY')
('27315c70-e5b7-452d-b54d-b08aa3c16244', 'afb95f59-3da7-4be9-8e4a-df8cc4f9c894', 'ZHLY')
('00a6fe04-ce4c-4188-92fa-3ef65216d160', 'b32abeb6-dedb-4df8-a57d-ac5a20f977a9', 'ZBDT')
('f8b54985-a359-4637-8ab3-0ac03de7f590', 'b9ce4f3e-0358-424d-ab07-9db06078f44c', 'ZHSY')
('bcb85e11-a736-461e-a126-c2d0d4234aca', 'bbe087cd-12a3-4ca9-ae45-44f587e514f4', 'ZWAK')
('746c15a6-bdcd-40d6-9f05-82ee4d3f171c', 'bce240e0-0054-44f8-8386-9b45aea9c1e6', 'ZWTC')
('214c012d-48a1-478c-85e2-ef4fffc9873a', 'be4559c3-ffec-4efe-b4a4-b1dd3574ad4c', 'ZUGU')
('3f6d0e67-14fd-40b3-8e83-ee41c0a8daca', 'be947d90-1b50-4475-8e62-4809c86e532e', 'ZSLY')
('5832f3bb-30e6-4d4c-bb0b-8212e1299c30', 'bf0c7e5a-322e-4188-ac5e-29f86124d573', 'ZSJH')
('7ceca86a-cb97-436a-83bb-43f479c7752a', 'bf69cc9e-555b-45e9-9a40-7bef8906c323', 'ZGYY')
